iter	Passed	Remaining
399	47385	94771
400	47505	94655
401	47626	94541
402	47750	94434
403	47872	94322
404	48002	94226
405	48128	94123
406	48255	94021
407	48385	93925
408	48498	93794
409	48616	93674
410	48747	93581
411	48875	93480
412	49008	93389
413	49130	93276
414	49246	93153
415	49361	93027
416	49490	92927
417	49630	92849
418	49742	92718
419	49872	92620
420	49986	92492
421	50112	92387
422	50228	92263
423	50361	92170
424	50493	92076
425	50631	91992
426	50757	91885
427	50891	91794
428	51021	91695
429	51136	91570
430	51286	91506
431	51435	91441
432	51557	91327
433	51689	91230
434	51811	91116
435	51935	91006
436	52051	90881
437	52176	90773
438	52296	90655
439	52424	90551
440	52551	90445
441	52673	90330
442	52795	90216
443	52921	90109
444	53054	90013
445	53191	89923
446	53313	89810
447	53451	89721
448	53582	89622
449	53723	89538
450	53850	89432
451	53982	89333
452	54111	89230
453	54248	89140
454	54385	89048
455	54517	88949
456	54633	88823
457	54759	88715
458	54880	88597
459	55010	88495
460	55132	88379
461	55271	88290
462	55372	88141
463	55500	88035
464	55634	87938
465	55770	87845
466	55903	87746
467	56043	87658
468	56183	87570
469	56309	87459
470	56433	87346
471	56561	87238
472	56695	87141
473	56833	87049
474	56973	86958
475	57095	86843
476	57214	86721
477	57338	86608
478	57470	86506
479	57596	86394
480	57709	86264
481	57815	86124
482	57929	85995
483	58035	85853
484	58156	85735
485	58273	85611
486	58388	85484
487	58517	85378
488	58623	85238
489	58745	85121
490	58863	84998
491	58980	84874
492	59106	84762
493	59224	84639
494	59354	84534
495	59475	84417
496	59598	84301
497	59711	84171
498	59833	84054
499	59952	83933
500	60070	83810
501	60190	83691
502	60307	83566
503	60435	83458
504	60551	83332
505	60664	83204
506	60782	83080
507	60906	82967
508	61022	82841
509	61141	82720
510	61253	82590
511	61377	82475
512	61499	82359
513	61614	82231
514	61735	82113
515	61858	81998
516	61985	81887
517	62100	81761
518	62221	81642
519	62338	81519
520	62460	81402
521	62594	81300
522	62720	81189
523	62840	81069
524	62972	80965
525	63095	80849
526	63216	80730
527	63341	80616
528	63452	80484
529	63563	80354
530	63680	80230
531	63805	80117
532	63930	80002
533	64041	79871
534	64164	79755
535	64273	79622
536	64384	79491
537	64499	79365
538	64616	79242
539	64737	79123
540	64848	78992
541	64972	78878
542	65120	78791
543	65250	78684
544	65379	78575
545	65507	78465
546	65642	78363
547	65778	78262
548	65900	78144
549	66022	78026
550	66158	77925
551	66270	77795
552	66387	77671
553	66495	77538
554	66605	77406
555	66712	77271
556	66840	77160
557	66961	77042
558	67083	76923
559	67193	76792
560	67309	76667
561	67430	76549
562	67544	76422
563	67657	76294
564	67780	76178
565	67894	76051
566	68007	75924
567	68122	75798
568	68241	75676
569	68362	75558
570	68477	75432
571	68601	75317
572	68737	75214
573	68857	75094
574	68978	74976
575	69090	74848
576	69349	74878
577	69487	74776
578	69601	74650
579	69720	74528
580	69839	74407
581	69954	74281
582	70070	74157
583	70187	74033
584	70298	73903
585	70347	73708
586	70467	73588
587	70588	73470
588	70702	73343
589	70811	73211
590	70928	73088
591	71044	72964
592	71163	72843
593	71289	72729
594	71412	72612
595	71536	72496
596	71652	72372
597	71758	72238
598	71892	72132
599	72011	72011
600	72123	71883
601	72230	71750
602	72351	71631
603	72470	71510
604	72578	71378
605	72698	71258
606	72813	71133
607	72933	71013
608	73045	70886
609	73149	70751
610	73268	70630
611	73379	70501
612	73489	70372
613	73609	70252
614	73723	70126
615	73836	70000
616	73953	69878
617	74077	69762
618	74190	69635
619	74302	69508
620	74416	69383
621	74528	69256
622	74633	69123
623	74754	69004
624	74862	68873
625	74977	68749
626	75084	68617
627	75203	68497
628	75316	68371
629	75417	68235
630	75539	68117
631	75654	67993
632	75776	67875
633	75896	67756
634	76010	67631
635	76067	67456
636	76172	67323
637	76298	67209
638	76425	67096
639	76528	66962
640	76643	66838
641	76755	66713
642	76883	66600
643	76997	66476
644	77116	66355
645	77242	66242
646	77353	66114
647	77459	65984
648	77581	65866
649	77637	65693
650	77752	65570
651	77881	65458
652	78001	65339
653	78122	65221
654	78242	65102
655	78353	64976
656	78472	64856
657	78589	64735
658	78711	64617
659	78818	64487
660	78924	64357
661	79035	64231
662	79157	64114
663	79275	63993
664	79394	63874
665	79505	63747
666	79624	63627
667	79755	63517
668	79876	63399
669	79980	63268
670	80098	63147
671	80217	63028
672	80314	62891
673	80427	62766
674	80543	62645
675	80661	62524
676	80776	62401
677	80896	62283
678	81012	62161
679	81127	62038
680	81252	61923
681	81368	61801
682	81487	61682
683	81597	61555
684	81714	61435
685	81838	61319
686	81962	61203
687	82075	61079
688	82206	60968
689	82315	60841
690	82439	60726
691	82553	60603
692	82672	60483
693	82791	60363
694	82854	60203
695	82965	60078
696	83073	59951
697	83194	59833
698	83311	59712
699	83436	59597
700	83554	59477
701	83670	59355
702	83789	59236
703	83915	59122
704	84040	59006
705	84161	58889
706	84306	58787
707	84451	58686
708	84582	58575
709	84716	58466
710	84865	58367
711	85019	58271
712	85145	58156
713	85298	58060
714	85411	57936
715	85523	57811
716	85659	57703
717	85789	57591
718	85922	57480
719	86037	57358
720	86149	57234
721	86269	57114
722	86375	56986
723	86488	56862
724	86596	56735
725	86704	56608
726	86818	56485
727	86934	56363
728	87051	56243
729	87167	56121
730	87278	55996
731	87471	55924
732	87551	55779
733	87718	55690
734	87845	55575
735	87978	55464
736	88083	55335
737	88199	55214
738	88303	55085
739	88413	54959
