iter	RMSE
199	0.2740322319
200	0.2739837793
201	0.2739064899
202	0.2738607447
203	0.2737913614
204	0.2737336445
205	0.2736287985
206	0.2735505667
207	0.2734879167
208	0.2734049293
209	0.2733712967
210	0.2733346717
211	0.2732602645
212	0.2732008624
213	0.2730544506
214	0.2730264707
215	0.2729476634
216	0.2729097871
217	0.2728422409
218	0.2728251797
219	0.2727903583
220	0.2727380681
221	0.272638686
222	0.2725924748
223	0.2725305117
224	0.2724610367
225	0.2723744024
226	0.2723047632
227	0.2721911182
228	0.2721559556
229	0.2720829527
230	0.2720339846
231	0.2719707598
232	0.271912861
233	0.2718436568
234	0.2717912009
235	0.2717472192
236	0.2716954285
237	0.2716502784
238	0.2716350808
239	0.2715449542
240	0.2714722184
241	0.271400404
242	0.2713267083
243	0.2712037489
244	0.2711288469
245	0.2710605931
246	0.2709110296
247	0.2708827799
248	0.2708471088
249	0.2708114055
250	0.2707594092
251	0.2707186215
252	0.2706660594
253	0.2706020986
254	0.2705354342
255	0.2704915775
256	0.2704407266
257	0.2703574753
258	0.2703296955
259	0.2702465244
260	0.2701453204
261	0.2700729233
262	0.2699814475
263	0.2698964286
264	0.2698604149
265	0.2697791249
266	0.2697116521
267	0.2696454492
268	0.2695919029
269	0.2695221142
270	0.2694768881
271	0.2694737989
272	0.2694163492
273	0.269371574
274	0.2693020264
275	0.2692021686
276	0.2690687729
277	0.2690326055
278	0.2689598664
279	0.2688922274
280	0.2688383048
281	0.2688013196
282	0.2687661294
283	0.2686508859
284	0.2685879446
285	0.2684856514
286	0.2684441291
287	0.2683804974
288	0.2683378156
289	0.268300473
290	0.2682043685
291	0.2681131214
292	0.268047185
293	0.2679217071
294	0.2678648505
295	0.2678082071
296	0.267757063
297	0.2676344471
298	0.2675831598
299	0.2675516174
300	0.2675124771
301	0.2674369087
302	0.2673437744
303	0.2672957843
304	0.2671949663
305	0.2671290661
306	0.2670798528
307	0.2670490228
308	0.2669638701
309	0.2668614695
310	0.2667981753
311	0.2667392176
312	0.2667025141
313	0.2666989994
314	0.2666346142
315	0.2665655572
316	0.266522408
317	0.2664779325
318	0.2664151796
319	0.2663749788
320	0.2662975396
321	0.2662411304
322	0.2661961618
323	0.2661506767
324	0.2660781788
325	0.2660514118
326	0.2659914055
327	0.265935667
328	0.2658823973
329	0.2658239434
330	0.2657616489
331	0.2656868954
332	0.2656436487
333	0.2655922013
334	0.2655375321
335	0.2654833265
336	0.2654237911
337	0.2653777242
338	0.2653100569
339	0.2651932241
340	0.26509001
341	0.2650692111
342	0.2650105715
343	0.2649050727
344	0.2648224922
345	0.2647409526
346	0.2646994698
347	0.2646523142
348	0.264613618
349	0.2644987939
350	0.264443798
351	0.264396722
352	0.2643387629
353	0.2642920568
354	0.2642501309
355	0.2641853192
356	0.2641441794
357	0.2641254968
358	0.2640572032
359	0.2640176827
360	0.263953637
361	0.2638640557
362	0.2637946417
363	0.2636985953
364	0.263613666
365	0.263529519
366	0.2634824289
367	0.2634178297
368	0.2633406913
369	0.2632578141
370	0.2631935226
371	0.2631640517
372	0.2630893607
373	0.2630516992
374	0.2629546453
375	0.2629071698
376	0.2628113431
377	0.262766913
378	0.2626604541
379	0.262611792
380	0.2625096073
381	0.262455304
382	0.2624183104
383	0.2623616861
384	0.2623135305
385	0.2622830589
386	0.2621950922
387	0.26212629
388	0.2620659332
389	0.262016173
390	0.2619797519
391	0.2619538657
392	0.2619157519
393	0.2618330263
394	0.2617694946
395	0.2617228983
396	0.2616913984
397	0.2616148883
398	0.2615586753
399	0.2615139883
400	0.2614721241
401	0.2614266009
402	0.2613656802
403	0.2613322809
404	0.2612762612
405	0.2611533964
406	0.2610490165
407	0.2610045038
408	0.2609656057
409	0.2609242362
410	0.2608404656
411	0.2607549653
412	0.2606944905
413	0.2606193875
414	0.2605478948
415	0.2604974473
416	0.2604471565
417	0.2603724662
418	0.2603550785
419	0.2602531568
420	0.260190016
421	0.2601183191
422	0.260102995
423	0.2600136287
424	0.2599382589
425	0.2598867826
426	0.2597998946
427	0.2596705749
428	0.2595854252
429	0.2595581712
430	0.2594988775
431	0.2594247627
432	0.2593280108
433	0.2592788843
434	0.2592362278
435	0.2591676797
436	0.2591337321
437	0.2590647533
438	0.2589571887
439	0.2588853259
440	0.2588133187
441	0.2587548894
442	0.2587000163
443	0.2586468844
444	0.2585581103
445	0.2585220106
446	0.2584814455
447	0.2584014575
448	0.2583467177
449	0.2583068039
450	0.2582269477
451	0.2581614444
452	0.2581176664
453	0.2580567515
454	0.2580190711
455	0.2579652465
456	0.257865346
457	0.2577794467
458	0.2577285972
459	0.2576912159
460	0.2576440066
461	0.2575659459
462	0.2575186401
463	0.257466448
464	0.2574112203
465	0.257374348
466	0.2573272939
467	0.2572618614
468	0.2571790568
469	0.2571422206
470	0.2570547264
471	0.2570059191
472	0.2569344961
473	0.2568607101
474	0.256837667
475	0.2567790325
476	0.2567262384
477	0.256661438
478	0.2566023978
479	0.2565319665
480	0.2564982854
481	0.2563677119
482	0.256306632
483	0.2562707014
484	0.256225401
485	0.2561674192
486	0.2561525275
487	0.2561006805
488	0.256052983
489	0.2559952974
490	0.255957195
491	0.2558995135
492	0.2558290994
493	0.2557332929
494	0.2556514568
495	0.2555676367
496	0.25551898
497	0.2554921218
498	0.255425535
499	0.2553888873
500	0.2553549151
501	0.255271058
502	0.255254419
503	0.2551981774
504	0.2551505924
505	0.2551110159
506	0.255086167
507	0.2550675184
508	0.2549642472
509	0.2549182149
510	0.2548686374
511	0.2548418056
512	0.2547582759
513	0.2547324392
514	0.2546573483
515	0.2546206904
516	0.2545633836
517	0.2544800653
518	0.2544471479
519	0.2544054405
520	0.2543784265
521	0.2543559335
522	0.2542989175
523	0.2542580471
524	0.2542231261
525	0.2541613689
526	0.2541065756
527	0.2540793432
528	0.2540155235
529	0.2539548521
530	0.2539192063
531	0.2538851646
532	0.2538504832
533	0.2538096104
534	0.2537694193
535	0.2536900172
536	0.2536680928
537	0.253637309
538	0.2535630595
539	0.2534850544
540	0.2534390506
541	0.2533767937
542	0.2533002426
543	0.2532452428
544	0.2532204366
545	0.2531910596
546	0.2531362329
547	0.2530601857
548	0.2530319753
549	0.2530030204
550	0.2529844549
551	0.2529588043
552	0.2528893867
553	0.2528425851
554	0.2528325787
555	0.2527928116
556	0.2527729045
557	0.2527176886
558	0.252657452
559	0.2526245204
560	0.2525838479
561	0.2524975208
562	0.2524472185
563	0.2524358974
564	0.2524024286
565	0.2523550839
566	0.252253362
567	0.2521988873
568	0.2521544739
569	0.252069995
570	0.2520365419
571	0.2520197753
572	0.2519567303
573	0.2518584009
574	0.2518152785
575	0.2517929998
576	0.2517642424
577	0.2517192087
578	0.2516938209
579	0.2516583924
580	0.2516280165
581	0.2515876153
582	0.2515579138
583	0.2515322769
584	0.2514958121
585	0.2514955915
586	0.2514453709
587	0.2514038467
588	0.2513652647
589	0.25131448
590	0.2512731038
591	0.2512200726
592	0.2512055972
593	0.2511624186
594	0.2511124364
595	0.251040045
596	0.2509541128
597	0.2509527128
598	0.2509156832
599	0.2509066056
600	0.25087045
601	0.250826875
602	0.2507888719
603	0.2507392598
604	0.2507017034
605	0.2506779528
606	0.250627949
607	0.2505811907
608	0.2505174907
609	0.2504071963
610	0.250327646
611	0.2502429909
612	0.2501871801
613	0.2501490868
614	0.2501197568
615	0.2500550635
616	0.2500143292
617	0.2499566774
618	0.2499023901
619	0.249865839
620	0.2498061336
621	0.2497890325
622	0.2497498543
623	0.2497277831
624	0.2496960359
625	0.2496118556
626	0.2495552863
627	0.2494851394
628	0.2494623334
629	0.2494540699
630	0.2494472565
631	0.2494412402
632	0.249398289
633	0.2493735762
634	0.249327453
635	0.2493271286
636	0.2493001636
637	0.2492507819
638	0.2492283972
639	0.2492254447
640	0.2491796705
641	0.2491726705
642	0.2491275297
643	0.2490489088
644	0.2489721559
645	0.2489629455
646	0.2489145604
647	0.2488508676
648	0.2488002239
649	0.2487999135
650	0.2487939487
651	0.2487567125
652	0.2487531501
653	0.2487235177
654	0.2487171616
655	0.2487167372
656	0.248680421
657	0.2486236993
658	0.2485739219
659	0.2485511947
660	0.2485509247
661	0.2485300844
662	0.2484637866
663	0.2483874356
664	0.2483301722
665	0.2482919912
666	0.2481984052
667	0.2481681935
668	0.2481140737
669	0.2480755869
670	0.2480475795
671	0.248011079
672	0.248009568
673	0.2479739671
674	0.2479056226
675	0.2478594779
676	0.2478081347
677	0.2477338092
678	0.2477115
679	0.2476844313
680	0.2476188342
681	0.2475772591
682	0.247503468
683	0.2474593797
684	0.2474391662
685	0.2473647773
686	0.247309005
687	0.2472675229
688	0.2472145901
689	0.247189073
690	0.247139765
691	0.2471364337
692	0.2470965688
693	0.2470880136
694	0.2470877188
695	0.2470616007
696	0.2470254972
697	0.2470065298
698	0.2469744336
699	0.2469259869
700	0.2468951203
701	0.246880434
702	0.246849248
703	0.2467395318
704	0.2466674227
705	0.2466194037
706	0.246558052
707	0.2465103411
708	0.2464547554
709	0.2464282334
710	0.2463847596
711	0.2463436577
712	0.2462855935
713	0.2462456734
714	0.2461735841
715	0.2461126413
716	0.2460965476
717	0.2460512064
718	0.2460329774
719	0.2460275419
720	0.2460067
721	0.2459354711
722	0.2458771146
723	0.2458602009
724	0.2458133631
725	0.2457819236
726	0.2457417267
727	0.2457063352
728	0.2456478983
729	0.2456390267
730	0.2455747706
731	0.2455041004
732	0.2455038114
733	0.2454553305
734	0.2453928956
735	0.245357317
736	0.2453002557
737	0.2452740353
738	0.24523278
739	0.2451820307
740	0.2451467425
741	0.2451116972
742	0.2450683531
743	0.24498923
744	0.2449473635
745	0.2448951632
746	0.2448708866
747	0.2448108921
748	0.2447702768
749	0.2447060878
750	0.2446859022
751	0.2446510118
752	0.2446071813
753	0.2445556063
754	0.2445159265
755	0.244473925
756	0.2444445932
757	0.2444424722
758	0.2444214413
759	0.2444029169
760	0.2443663157
761	0.2443335085
762	0.2443003729
763	0.2442163812
764	0.2441691381
765	0.2441460389
766	0.2440911151
767	0.2440583823
768	0.2440075983
769	0.2439625182
770	0.2439035889
771	0.2438927947
772	0.2438529756
773	0.2437701754
774	0.2437155579
775	0.2436641474
776	0.2435700662
777	0.2435411132
778	0.2435088168
779	0.2434623006
780	0.2433875366
781	0.243372254
782	0.2433343102
783	0.2432887187
784	0.2432550728
785	0.2431948663
786	0.2431474098
787	0.2430978003
788	0.243078265
789	0.2430330705
790	0.2429986099
791	0.2429408757
792	0.2429056998
793	0.2428363853
794	0.2428245646
795	0.2428206943
796	0.242757207
797	0.2427277423
798	0.242661162
799	0.2426487851
800	0.242584252
801	0.2425685217
802	0.2425365721
803	0.242498079
804	0.2424637213
805	0.2424168396
806	0.2423669381
807	0.242323446
808	0.2423096693
809	0.2422882867
810	0.2422694526
811	0.2422310771
812	0.2422289686
813	0.2421860587
814	0.2421284507
815	0.2421068694
816	0.2420861571
817	0.242060659
818	0.2420410515
819	0.2419968292
820	0.2419542032
821	0.2419472803
822	0.2419260825
823	0.2418833331
824	0.2418628143
825	0.2418316282
826	0.2417894319
827	0.2417416015
828	0.2417369875
829	0.2416980096
830	0.2416909104
831	0.2416741041
832	0.2416500139
833	0.2416459433
834	0.2415854004
835	0.2415288405
836	0.2415122574
837	0.2414493148
838	0.2414146047
839	0.2413743782
840	0.2413410481
841	0.2413246944
842	0.2412597169
843	0.2412136835
844	0.241154802
845	0.2410617418
846	0.2410499405
847	0.2410117241
848	0.2409909138
849	0.2409738942
850	0.240952136
851	0.2408825781
852	0.2408459171
853	0.2408038216
854	0.2407615547
855	0.2407173438
856	0.2406737561
857	0.2406663751
858	0.240651342
859	0.2406151481
860	0.2405963267
861	0.2405530362
862	0.240474361
863	0.2404685328
864	0.2404514021
865	0.2404201298
866	0.2403990215
867	0.2403266165
868	0.2402664143
869	0.2402484803
870	0.2402129322
871	0.2401744755
872	0.2401005257
873	0.2400595827
874	0.2400232622
875	0.2399787006
876	0.2399243129
877	0.2398935226
878	0.2398143934
879	0.2398101972
880	0.2397673321
881	0.2397365439
882	0.2396775606
883	0.2396702632
884	0.2395994715
885	0.2395877047
886	0.2395494798
887	0.239541997
888	0.2395020322
889	0.2394683491
890	0.2394389833
891	0.2393808109
892	0.2393282728
893	0.2392913946
894	0.239254681
895	0.2392163994
896	0.2392022255
897	0.2391564502
898	0.2391150597
899	0.2390836803
900	0.2390424889
901	0.2390078978
902	0.2389302156
903	0.2388892701
904	0.2388624328
905	0.2388281486
906	0.2387928766
907	0.238751706
908	0.2387172385
909	0.2386765356
910	0.2386326527
911	0.2386086523
912	0.2385802424
913	0.2385637853
914	0.2385156945
915	0.2385039022
916	0.2384831654
917	0.2384515321
918	0.2384386178
919	0.2384238729
920	0.238398695
921	0.2383858804
922	0.2383376191
923	0.2383138517
924	0.2382828618
925	0.2382296221
926	0.2381677649
927	0.2381211345
928	0.2380424942
929	0.2380044843
930	0.2379672297
931	0.2379421488
932	0.2379036717
933	0.23788551
934	0.237872502
935	0.2378266389
936	0.237811395
937	0.2377721684
938	0.2377672102
939	0.2377435084
940	0.2376921407
941	0.2376782361
942	0.2376357123
943	0.2376119078
944	0.2375605888
945	0.2375240155
946	0.237495773
947	0.2374759304
948	0.2374493014
949	0.2373886685
950	0.2373840214
951	0.237332402
952	0.2372905515
953	0.2372479279
954	0.2372002794
955	0.237194573
956	0.2371521928
957	0.2371097628
958	0.2370835112
959	0.2370336321
960	0.2369986667
961	0.2369639122
962	0.2369366189
963	0.2368961611
964	0.2368627965
965	0.2368548008
966	0.2368166671
967	0.2367758626
968	0.2367299041
969	0.2367135593
970	0.2367099069
971	0.2366522508
972	0.2365998147
973	0.2365636601
974	0.2365265695
975	0.2364917077
976	0.2364816497
977	0.2364780965
978	0.236441657
979	0.2364034763
980	0.236382726
981	0.2363672983
982	0.2363051322
983	0.2362700149
984	0.2362450914
985	0.2361825261
986	0.2361749174
987	0.2361450199
988	0.2361196192
989	0.2360841024
990	0.2360166165
991	0.2359638902
992	0.2359573367
993	0.2359074081
994	0.2358836142
995	0.2358770021
996	0.2358341517
997	0.2358124219
998	0.2357916651
999	0.2357548598
1000	0.2356837299
1001	0.2356470205
1002	0.2356062045
1003	0.2355794517
1004	0.2355198563
1005	0.2354868536
1006	0.2354303907
1007	0.2353951698
1008	0.2353657364
1009	0.2353388789
1010	0.2352838726
1011	0.235252562
1012	0.2352148622
1013	0.2351716944
1014	0.2351320448
1015	0.2350822758
1016	0.2350528489
1017	0.2350424375
1018	0.2350181558
1019	0.2349849912
1020	0.2349280999
1021	0.2349059925
1022	0.234868521
1023	0.234855491
1024	0.2348387831
1025	0.234770975
1026	0.2347429738
1027	0.2347240029
1028	0.2346921599
1029	0.2346727416
1030	0.2346416044
1031	0.234634294
1032	0.2346226419
1033	0.2345889612
1034	0.234541643
1035	0.2345170762
1036	0.2344631028
1037	0.234433805
1038	0.2343792434
1039	0.2343589059
1040	0.234308688
1041	0.2342531609
1042	0.2342357514
1043	0.2341892944
1044	0.2341875014
1045	0.2341323586
1046	0.2341079409
1047	0.2340496321
1048	0.2340298881
1049	0.2340107216
1050	0.2339830897
1051	0.2339595738
1052	0.2339153508
1053	0.2338837321
1054	0.2338473669
1055	0.2338467439
1056	0.2338030247
1057	0.2337540453
1058	0.2337364519
1059	0.2336831938
1060	0.233640614
1061	0.2336188318
1062	0.2335812538
1063	0.233577306
1064	0.2335344949
1065	0.233469937
1066	0.2334266156
1067	0.2333714145
1068	0.2333679772
1069	0.2333519958
1070	0.2333032
1071	0.2332853599
1072	0.2332551303
1073	0.2332250561
1074	0.2332016462
1075	0.2331749195
1076	0.233147906
1077	0.2331169235
1078	0.2330782759
1079	0.2330502757
1080	0.2330028716
1081	0.2329739792
1082	0.2329483553
1083	0.2329182002
1084	0.2328901616
1085	0.2328258808
1086	0.2327863608
1087	0.2327442641
1088	0.2327019887
1089	0.2326473485
1090	0.2326324216
1091	0.232562081
1092	0.232520024
1093	0.2324736298
1094	0.232452478
1095	0.2324235641
1096	0.2323950697
1097	0.2323407511
1098	0.2323374793
1099	0.2323002072
1100	0.2322688266
1101	0.2322152858
1102	0.2321729094
1103	0.2321678478
1104	0.2321376415
1105	0.2321024589
1106	0.2320728585
1107	0.2320649961
1108	0.2320109171
1109	0.2319740448
1110	0.2319471572
1111	0.2319032245
1112	0.2318577089
1113	0.2318217678
1114	0.2317424092
1115	0.2316956855
1116	0.2316656548
1117	0.2316175627
1118	0.231582386
1119	0.2315181446
1120	0.2314828498
1121	0.2314439288
1122	0.2313683345
1123	0.2313380121
1124	0.2313140886
1125	0.2312990471
1126	0.2312679312
1127	0.231218587
1128	0.2311753723
1129	0.2311461451
1130	0.2311200332
1131	0.2311083456
1132	0.2310507877
1133	0.2310038989
1134	0.2309878405
1135	0.2309759866
1136	0.2309302231
1137	0.2308970581
1138	0.2308761203
1139	0.2308553543
1140	0.2308469282
1141	0.2308098696
1142	0.2307932494
1143	0.2307309135
1144	0.2307008042
1145	0.2306732744
1146	0.2306350853
1147	0.2305914006
1148	0.2305679219
1149	0.2304987918
1150	0.2304434094
1151	0.2303916348
1152	0.2303255255
1153	0.2303152595
1154	0.230293736
1155	0.2302804059
1156	0.2302594743
1157	0.2302122808
1158	0.2301748617
